FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
4144,QC-2023-20231080365,QC, ,20231080365, ,48.3983,-74.8239,2023,6,2,2023-06-02,,2023-07-09 00:00:00,262.397638762,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4145,QC-2023-20231080370,QC, ,20231080370, ,49.2313,-75.3112,2023,6,1,2023-06-01,,2023-07-17 00:00:00,1970.01515506,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4146,QC-2023-20231080372,QC, ,20231080372, ,48.7818,-75.2432,2023,6,2,2023-06-02,,2023-07-09 00:00:00,1972.80973855,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4147,QC-2023-20231080373,QC, ,20231080373, ,48.8432,-75.1021,2023,6,2,2023-06-02,,2023-07-23 00:00:00,17532.6549894,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4148,QC-2023-20231080374,QC, ,20231080374, ,47.2929,-73.6192,2023,6,2,2023-06-02,,2023-06-10 00:00:00,37.0009860569,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4150,QC-2023-20231080377,QC, ,20231080377, ,47.5927,-77.9687,2023,6,2,2023-06-02,,2023-06-14 00:00:00,5.21076325309,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4151,QC-2023-20231080379,QC, ,20231080379, ,50.1667,-73.4733,2023,6,2,2023-06-02,,2023-08-12 00:00:00,50013.5334948,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4153,QC-2023-20231080382,QC, ,20231080382, ,48.2969,-76.1019,2023,6,2,2023-06-02,,2023-07-10 00:00:00,1542.08456452,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4156,QC-2023-20231080387,QC, ,20231080387, ,46.8257,-76.2888,2023,6,3,2023-06-03,,2023-06-07 00:00:00,5.39113314972,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4157,QC-2023-20231080388,QC, ,20231080388, ,48.0129,-75.8641,2023,6,1,2023-06-01,,2023-06-20 00:00:00,63.7642777951,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4158,QC-2023-20231080390,QC, ,20231080390, ,46.8739,-74.6022,2023,6,3,2023-06-03,,2023-06-12 00:00:00,12.881541215,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4160,QC-2023-20231080392,QC, ,20231080392, ,46.8932,-73.256,2023,6,3,2023-06-03,,2023-06-11 00:00:00,0.986085893872,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4161,QC-2023-20231080393,QC, ,20231080393, ,48.0518,-74.0329,2023,6,3,2023-06-03,,2023-06-21 00:00:00,391.196673109,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4162,QC-2023-20231080394,QC, ,20231080394, ,46.2269,-76.4591,2023,6,3,2023-06-03,,2023-07-06 00:00:00,42.1275045657,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4163,QC-2023-20231080398,QC, ,20231080398, ,46.8276,-76.9867,2023,6,3,2023-06-03,,2023-06-09 00:00:00,1.87472525238,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4165,QC-2023-20231080403,QC, ,20231080403, ,47.7743,-76.6954,2023,6,2,2023-06-02,,2023-06-11 00:00:00,37.2090292074,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
