timestamp,co2[ppm],heartbeat[undefined],humidity[%],temperature[°F]
2023-11-13T21:00:19-05:00,1267,---,45.12,66.4
2023-11-13T21:40:19-05:00,1102.8,---,42.97,66.6
2023-11-13T22:20:20-05:00,1018.3,---,43.2,65.7
2023-11-13T23:00:20-05:00,914.5,---,42.96,64.9
2023-11-13T23:40:20-05:00,846,---,43.86,64
2023-11-14T00:20:20-05:00,857,---,43.47,63.9
2023-11-14T01:00:20-05:00,794.2,---,43.07,63.5
2023-11-14T01:40:20-05:00,846.6,---,42.84,63.3
2023-11-14T02:20:20-05:00,739,---,42.45,63.3
2023-11-14T03:00:21-05:00,711.8,---,42.49,63.1
2023-11-14T03:40:21-05:00,669.3,---,42.02,62.8
2023-11-14T04:21:21-05:00,648.7,---,42.46,62.4
2023-11-14T05:01:21-05:00,622.2,---,42.67,62
2023-11-14T05:41:21-05:00,641.7,---,43.78,64.9
2023-11-14T06:21:21-05:00,698.5,---,43.96,65.5
2023-11-14T07:01:21-05:00,643.2,---,42.53,65.8
2023-11-14T07:41:21-05:00,659.3,---,42.15,65.8
2023-11-14T08:21:21-05:00,744.2,---,42.53,66
2023-11-14T09:01:21-05:00,739.9,---,42.72,65.4
2023-11-14T09:41:22-05:00,715.3,---,43.29,64.5
2023-11-14T10:21:22-05:00,705,---,43.53,63.9
2023-11-14T11:01:22-05:00,673.7,---,42.71,64
2023-11-14T11:42:22-05:00,655.4,---,42.59,63.8
2023-11-14T12:22:22-05:00,635.2,---,42.71,63.4
2023-11-14T13:02:22-05:00,607.2,---,42.48,63.3
2023-11-14T13:42:22-05:00,572,---,41.35,64.5
2023-11-14T14:22:22-05:00,582.4,---,42.06,64
2023-11-14T15:02:23-05:00,540.9,---,41.19,64.9
2023-11-14T15:42:23-05:00,515.8,---,41.73,64.5
2023-11-14T16:23:23-05:00,515.1,---,40.1,66.8
2023-11-14T17:03:23-05:00,884.7,---,43.39,67.3
2023-11-14T17:43:23-05:00,1048.1,---,44.48,67
2023-11-14T18:23:23-05:00,1494,---,45.62,67.3
2023-11-14T19:03:23-05:00,1819.3,---,47.71,66.9
2023-11-14T19:47:23-05:00,2030.2,---,50.69,67.1
2023-11-14T20:27:23-05:00,1457.5,---,46.67,66.4
2023-11-14T21:07:23-05:00,1029.6,---,43.87,66.5
2023-11-14T21:47:24-05:00,948.8,---,43.47,66.5
2023-11-14T22:27:24-05:00,1024.6,---,45.48,65.4
2023-11-14T23:07:24-05:00,1042.2,---,45.21,64.1
2023-11-14T23:47:24-05:00,916.2,---,44.01,63.7
2023-11-15T00:27:24-05:00,747.2,---,43.87,62.4
2023-11-15T01:07:24-05:00,660.5,---,43.19,62
2023-11-15T01:47:24-05:00,614.1,---,43.64,60.9
2023-11-15T02:27:24-05:00,580,---,43.1,60.7
2023-11-15T03:08:24-05:00,541.6,---,42.79,60.3
2023-11-15T03:48:25-05:00,562.4,---,41.6,60.8
2023-11-15T04:28:25-05:00,548.4,---,41.52,60.8
2023-11-15T05:09:25-05:00,558.6,---,42.13,60.4
2023-11-15T05:49:25-05:00,591.1,---,41.77,63.2
2023-11-15T06:29:25-05:00,625.3,---,41.97,63.8
2023-11-15T07:09:25-05:00,559.3,---,40,63.8
2023-11-15T07:49:25-05:00,671.2,---,42.13,63.9
2023-11-15T08:28:25-05:00,747.3,---,43.33,65.5
2023-11-15T09:08:26-05:00,709.8,---,40.82,65.1
2023-11-15T09:48:26-05:00,654.8,---,40.28,64.7
2023-11-15T10:28:26-05:00,652.3,---,40.17,65
2023-11-15T11:09:26-05:00,638.5,---,39.58,66.4
2023-11-15T11:49:26-05:00,613.2,---,36.03,69.4
2023-11-15T12:29:26-05:00,629.4,---,33.54,71.6
2023-11-15T13:09:26-05:00,632.8,---,33.86,72.1
2023-11-15T13:49:26-05:00,629.8,---,34.99,70.6
2023-11-15T14:29:26-05:00,647.3,---,35.18,71.3
2023-11-15T15:09:27-05:00,659.8,---,36.59,69.2
2023-11-15T15:49:27-05:00,578.4,---,38.07,68.7
2023-11-15T16:29:27-05:00,556.4,---,37.13,69.2
2023-11-15T17:09:27-05:00,719.3,---,38.8,69.5
2023-11-15T17:49:27-05:00,648.7,---,39.23,68.8
2023-11-15T18:30:00-05:00,---,---,---,---
2023-11-15T19:10:00-05:00,---,---,---,---
2023-11-15T19:50:00-05:00,---,---,---,---
2023-11-15T20:30:00-05:00,---,---,---,---
2023-11-15T21:10:00-05:00,---,---,---,---
2023-11-15T21:50:00-05:00,---,---,---,---
2023-11-15T22:30:00-05:00,---,---,---,---
2023-11-15T23:10:00-05:00,---,---,---,---
2023-11-15T23:50:00-05:00,---,---,---,---
2023-11-16T00:30:00-05:00,---,---,---,---
2023-11-16T01:10:00-05:00,---,---,---,---
2023-11-16T01:50:28-05:00,698.8,---,42.79,63.3
2023-11-16T02:30:29-05:00,650.9,---,42.52,63.2
2023-11-16T03:10:29-05:00,626.8,---,42.51,62.2
2023-11-16T03:50:29-05:00,612.5,---,42.57,61.7
2023-11-16T04:30:29-05:00,607.9,---,43.12,61
2023-11-16T05:10:29-05:00,631.3,---,42.53,60.9
