timestamp,co2[ppm],heartbeat[undefined],humidity[%],no2[ppb],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-03-28T18:38:54-04:00,441.7,---,---,-50.61,---,---,---,---,98565.2,---
2023-03-28T18:47:59-04:00,---,---,37.34,---,---,---,---,---,---,68.1
2023-03-28T18:56:13-04:00,441.5,---,37.43,-42.26,---,1.8,1.1,1.8,98579.6,67.9
2023-03-28T19:01:13-04:00,---,---,37.49,---,---,---,---,---,---,---
2023-03-28T19:08:16-04:00,---,---,37.6,---,---,2.3,1.1,2.1,---,67.6
2023-03-28T19:12:19-04:00,437.2,---,37.54,-12.54,---,1.9,1.2,1.9,98566.7,67.5
2023-03-28T19:20:32-04:00,433.8,---,37.47,-5.08,---,2.9,1.5,2.9,98567.2,67.5
2023-03-28T19:28:33-04:00,---,---,37.65,7.41,---,4.2,2.2,3.8,---,67.3
2023-03-28T19:34:32-04:00,443.4,---,38.05,18.81,---,3.7,1.6,3.3,98567.2,67.3
2023-03-28T19:42:06-04:00,451,---,38.21,30.36,---,7,2.5,5.5,98563.5,67.1
2023-03-28T19:52:20-04:00,446.9,---,---,---,---,---,---,---,---,---
2023-03-28T20:00:20-04:00,444.1,---,40.67,59,---,3.3,1.6,2.8,---,66.9
2023-03-28T20:09:11-04:00,442.3,---,40.49,67.8,---,3.8,1.8,3.3,---,66.7
2023-03-28T20:18:55-04:00,437.8,---,40.22,79.74,---,4.3,2.3,3.4,98577.4,66.5
2023-03-28T20:26:03-04:00,436,---,39.76,96.49,---,3.8,2,3.2,98567.6,66.6
2023-03-28T20:34:17-04:00,---,---,39.69,---,---,3.2,1.9,2.9,---,---
2023-03-28T20:40:18-04:00,---,---,---,---,---,---,---,---,---,66.3
2023-03-28T20:46:27-04:00,---,---,---,---,---,3.6,1.7,3.2,---,---
2023-03-28T20:53:31-04:00,---,---,39.64,---,---,3.4,2,3.3,---,66.1
2023-03-28T21:00:41-04:00,---,---,---,---,---,---,---,---,98584,---
2023-03-28T21:05:59-04:00,---,---,---,---,---,---,---,---,98583.9,---
2023-03-28T21:15:41-04:00,---,---,---,---,---,---,---,---,---,66.1
2023-03-28T21:19:55-04:00,---,---,---,---,---,---,---,---,98594.1,---
2023-03-28T21:26:45-04:00,---,---,39.32,---,---,---,---,---,---,---
2023-03-28T21:31:42-04:00,420.9,---,39.4,120.13,---,3.6,2.3,3.6,98595.6,65.7
2023-03-28T21:40:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-28T21:49:24-04:00,418.1,---,---,---,---,---,---,---,98606.7,---
2023-03-28T21:57:37-04:00,---,---,39.11,---,---,---,---,---,---,---
2023-03-28T22:04:45-04:00,415,---,---,---,---,---,---,---,98611.2,---
2023-03-28T22:13:52-04:00,---,---,39.01,112.12,---,4.1,1.9,3.5,---,65.6
2023-03-28T22:18:58-04:00,413.7,---,---,121.81,---,---,---,---,98611.4,---
2023-03-28T22:25:42-04:00,415,---,---,---,---,---,---,---,98615.1,---
2023-03-28T22:35:45-04:00,---,---,39.02,99.16,---,3.7,2.2,3.2,---,65.3
2023-03-28T22:40:54-04:00,---,---,---,---,---,---,---,---,98599.6,---
2023-03-28T22:47:58-04:00,409.8,---,39.1,100.85,---,4,2.5,3.6,---,65.2
2023-03-28T22:56:07-04:00,408.8,---,38.94,101.97,---,4.2,2.5,3.9,98596.7,65.1
2023-03-28T23:03:15-04:00,---,---,38.97,---,---,---,---,---,---,---
2023-03-28T23:09:19-04:00,407.7,---,38.77,99.68,---,4.9,2.9,4.2,98591.4,65.1
2023-03-28T23:18:25-04:00,---,---,---,---,---,---,---,---,---,65
2023-03-28T23:22:33-04:00,407.3,---,---,85.44,---,---,---,---,---,---
2023-03-28T23:30:39-04:00,405.3,---,38.7,85.72,---,4.5,2.9,4.5,98583.5,65
2023-03-28T23:38:03-04:00,---,---,---,---,---,---,---,---,98588.8,---
2023-03-28T23:47:01-04:00,404.3,---,38.34,86.37,---,3.4,2.5,3.1,---,65.1
2023-03-28T23:56:14-04:00,403,---,---,---,---,---,---,---,98581.9,---
2023-03-29T00:03:19-04:00,---,---,---,---,---,---,---,---,---,64.8
2023-03-29T00:10:26-04:00,---,---,38.56,86.59,---,4.9,3.2,4.2,---,64.7
2023-03-29T00:17:33-04:00,402.1,---,38.63,81.2,---,3.7,2.5,3.7,98570.2,64.6
2023-03-29T00:26:42-04:00,402,---,38.53,85.25,---,4,2.4,3.7,98560,64.5
2023-03-29T00:30:49-04:00,---,---,---,---,---,---,---,---,98560.9,---
2023-03-29T00:37:52-04:00,401.3,---,38.41,90.94,---,4.8,3,4.2,98555.5,64.4
2023-03-29T00:48:06-04:00,400.5,---,38.53,86.75,---,4.1,2.7,3.9,---,64.3
2023-03-29T00:51:08-04:00,399.8,---,38.34,87.27,---,4.1,2.5,4,98551,64.3
2023-03-29T00:58:16-04:00,400,---,---,76.78,---,4.1,2.6,3.8,98537.7,---
2023-03-29T01:07:12-04:00,401.2,---,38.28,83.46,---,4.3,2.5,3.5,98531.7,64.3
2023-03-29T01:14:20-04:00,398.8,---,38.23,80.61,---,4,2.4,3.5,---,64.2
2023-03-29T01:20:09-04:00,---,---,---,---,---,---,---,---,98516.5,---
2023-03-29T01:28:16-04:00,---,---,38.29,---,---,3.6,2.2,3.5,---,64.2
2023-03-29T01:34:27-04:00,---,---,---,---,---,---,---,---,98506.2,---
2023-03-29T01:42:59-04:00,397,---,38.16,90.6,---,3.7,2.1,3.6,98497.3,64.1
2023-03-29T01:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T01:57:14-04:00,396.5,---,37.96,81.29,---,4.8,2.6,3.9,---,64.2
2023-03-29T02:06:37-04:00,399,---,37.58,82.05,---,5,2.7,4.5,98478.2,64.3
2023-03-29T02:14:30-04:00,396.1,---,---,---,---,---,---,---,98476.9,---
2023-03-29T02:22:33-04:00,---,---,37.45,---,---,3.9,2.4,3.8,---,64.5
2023-03-29T02:30:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T02:38:42-04:00,---,---,---,---,---,---,---,---,---,64.5
2023-03-29T02:46:54-04:00,---,---,---,---,---,---,---,---,98455.3,---
2023-03-29T02:53:59-04:00,---,---,---,---,---,---,---,---,98465,---
2023-03-29T03:03:03-04:00,---,---,---,---,---,---,---,---,---,64.2
2023-03-29T03:10:11-04:00,394.2,---,37,71.01,---,3.2,2.1,2.8,---,64.2
2023-03-29T03:19:22-04:00,393,---,36.02,75.74,---,3.6,2.3,3.5,---,64.2
2023-03-29T03:21:53-04:00,---,---,---,---,---,---,---,---,98445.9,---
2023-03-29T03:27:37-04:00,---,---,---,---,---,---,---,---,98459,---
2023-03-29T03:32:38-04:00,---,---,---,---,---,---,---,---,98454.2,---
2023-03-29T03:40:38-04:00,394.3,---,---,---,---,---,---,---,---,---
2023-03-29T03:47:52-04:00,392.8,---,---,---,---,---,---,---,98453.4,---
2023-03-29T03:55:49-04:00,---,---,---,---,---,---,---,---,98451.2,---
2023-03-29T04:03:58-04:00,---,---,---,---,---,---,---,---,98442.7,---
2023-03-29T04:15:04-04:00,392.8,---,33.27,67.76,---,2.1,1.2,2.1,98447.9,64.1
2023-03-29T04:22:18-04:00,---,---,32.61,---,---,---,---,---,---,---
2023-03-29T04:30:14-04:00,394,---,32.9,69.41,---,1.9,0.9,1.9,98444.3,65.5
2023-03-29T04:38:25-04:00,---,---,32.61,---,---,---,---,---,---,---
2023-03-29T04:46:57-04:00,391.8,---,33.02,67.89,---,1.5,0.7,1.4,---,64.9
2023-03-29T04:54:42-04:00,393.4,---,33.06,69.17,---,3,2.1,3,---,64.6
2023-03-29T05:00:49-04:00,391.8,---,---,62.65,---,---,---,---,98471.2,---
2023-03-29T05:09:40-04:00,391.2,---,---,58.22,---,2.4,1.5,2.1,98480.1,---
2023-03-29T05:18:48-04:00,391.8,---,32.64,62.8,---,1.8,1,1.8,98487.2,64
2023-03-29T05:25:16-04:00,---,---,---,---,---,---,---,---,98481.4,---
2023-03-29T05:34:08-04:00,390.4,---,---,57.91,---,---,---,---,98476.3,---
2023-03-29T05:43:14-04:00,391.7,---,31.28,53.34,---,1.7,0.8,1.5,98478.5,65.4
2023-03-29T05:50:21-04:00,---,---,---,---,---,---,---,---,---,65.2
2023-03-29T05:55:26-04:00,389.4,---,31.74,58.45,---,1.3,1,1.3,98501.9,64.9
2023-03-29T06:02:31-04:00,---,---,31.83,61.24,---,1.1,0.6,1.1,---,64.6
2023-03-29T06:09:42-04:00,---,---,---,---,---,2.2,1.1,1.9,---,---
2023-03-29T06:15:46-04:00,392.6,---,31.71,53.55,---,3,2.6,2.9,---,64.5
2023-03-29T06:21:51-04:00,---,---,31.49,54.03,---,3.8,3,3.5,---,64.7
2023-03-29T06:27:59-04:00,389.2,---,---,---,---,---,---,---,---,---
2023-03-29T06:31:58-04:00,389.8,---,31.23,54.57,---,2.1,1.2,1.8,98514.3,65
2023-03-29T06:39:08-04:00,391.5,---,---,---,---,---,---,---,98522.6,---
2023-03-29T06:44:10-04:00,389.9,---,30.85,52.89,---,1.5,0.8,1.4,---,65.3
2023-03-29T06:50:17-04:00,390.7,---,30.21,54.62,---,1.2,0.7,1.1,---,66.1
2023-03-29T06:58:46-04:00,394.2,---,29.39,45.38,---,1.8,0.7,1.3,---,67.4
2023-03-29T07:05:54-04:00,392.9,---,28.76,44.92,---,1.3,0.8,1.3,---,68.5
2023-03-29T07:14:08-04:00,---,---,---,---,---,---,---,---,98533,---
2023-03-29T07:21:11-04:00,395.4,---,27.69,50.86,---,1.3,0.3,1.2,---,70.1
2023-03-29T07:27:32-04:00,396,---,---,57.72,---,---,---,---,98539.6,---
2023-03-29T07:37:31-04:00,---,---,27.04,---,---,---,---,---,---,71.3
2023-03-29T07:43:38-04:00,500.9,---,---,---,---,---,---,---,98536.7,---
2023-03-29T07:54:53-04:00,---,---,27.4,96.31,---,1.3,0.6,1.2,---,72
2023-03-29T08:01:52-04:00,485.8,---,27.13,103.66,---,0.9,0.5,0.9,98530,72
2023-03-29T08:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T08:14:06-04:00,---,---,---,---,---,---,---,---,98520.6,---
2023-03-29T08:23:16-04:00,---,---,---,---,---,---,---,---,98514.2,---
2023-03-29T08:31:16-04:00,437.1,---,26.99,156.32,---,0.7,0.2,0.5,---,72
2023-03-29T08:35:18-04:00,432.6,---,26.86,155.09,---,1.4,0.8,1.2,98504,72.3
2023-03-29T08:40:23-04:00,---,---,26.92,---,---,---,---,---,---,72
2023-03-29T08:47:34-04:00,425.7,---,---,---,---,---,---,---,98511.7,---
2023-03-29T08:58:46-04:00,---,---,27.14,---,---,0.9,0.3,0.7,---,71.6
2023-03-29T09:02:05-04:00,---,---,---,176.24,---,---,---,---,---,---
2023-03-29T09:09:04-04:00,421.4,---,---,188.22,---,---,---,---,---,---
2023-03-29T09:18:00-04:00,---,---,---,---,---,---,---,---,98473.9,---
2023-03-29T09:26:58-04:00,---,---,---,---,---,---,---,---,98469.3,---
2023-03-29T09:35:58-04:00,---,---,29.68,---,---,1.3,0.7,1,---,72.4
2023-03-29T09:42:08-04:00,799.4,---,---,202.98,---,1.3,0.6,1,98471,---
2023-03-29T09:47:06-04:00,---,---,30.96,202.4,---,1.5,0.6,1.4,---,71.9
2023-03-29T09:53:14-04:00,---,---,31.52,---,---,1,0.5,0.8,---,---
2023-03-29T10:00:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T10:06:19-04:00,---,---,---,---,---,---,---,---,---,72.7
