timestamp,co2[ppm],heartbeat[undefined],humidity[%],no2[ppb],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-03-29T23:02:44-04:00,388.9,---,---,---,---,---,---,---,---,---
2023-03-29T23:07:12-04:00,---,---,---,---,---,---,---,---,98579,---
2023-03-29T23:14:56-04:00,390.5,---,32.67,78.25,---,1,0.5,1,98583.6,---
2023-03-29T23:20:00-04:00,389,---,32.31,72.36,---,1.1,0.2,0.7,98581.6,63.8
2023-03-29T23:26:07-04:00,388.3,---,32.27,72.75,---,1,0.4,1,98587.3,63.9
2023-03-29T23:32:15-04:00,---,---,---,---,---,---,---,---,98592.6,---
2023-03-29T23:40:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T23:48:28-04:00,387.7,---,31.67,69.07,---,0.9,0.4,0.9,98622.9,---
2023-03-29T23:54:34-04:00,389,---,---,60.48,---,---,---,---,98628.7,---
2023-03-30T00:01:38-04:00,---,---,---,61.51,---,---,---,---,---,---
2023-03-30T00:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T00:17:08-04:00,---,---,---,---,---,---,---,---,98651,---
2023-03-30T00:26:13-04:00,384.9,---,---,---,---,---,---,---,98648.2,---
2023-03-30T00:31:14-04:00,385.1,---,27.33,58.57,---,0.5,0.1,0.4,98654,65
2023-03-30T00:38:07-04:00,385.3,---,27.69,62.64,---,0.5,0,0.3,98663.7,64.6
2023-03-30T00:48:09-04:00,384.8,---,28.69,71.3,---,0.5,0,0.3,98686.2,63.8
2023-03-30T00:52:33-04:00,---,---,---,70.01,---,---,---,---,---,---
2023-03-30T00:58:33-04:00,---,---,---,---,---,---,---,---,98706.3,---
2023-03-30T01:05:40-04:00,---,---,---,67.82,---,---,---,---,---,---
2023-03-30T01:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T01:15:47-04:00,382.3,---,---,---,---,---,---,---,98718.7,---
2023-03-30T01:19:41-04:00,382.8,---,---,71.37,---,---,---,---,---,---
2023-03-30T01:25:53-04:00,---,---,25.7,---,---,0,0,0,---,64.6
2023-03-30T01:33:52-04:00,---,---,25.57,69.81,---,0.3,0,0.3,---,64.5
2023-03-30T01:41:03-04:00,383.9,---,---,71.19,---,---,---,---,98745.1,---
2023-03-30T01:47:07-04:00,381.2,---,25.75,84.75,---,0.5,0,0.3,98749.4,63.7
2023-03-30T01:55:14-04:00,381.7,---,25.4,90.39,---,0.9,0,0.5,---,63.7
2023-03-30T02:02:22-04:00,381,---,24.9,89.75,---,0.3,0,0.3,98751.9,64.5
2023-03-30T02:07:38-04:00,---,---,24.7,---,---,---,---,---,---,---
2023-03-30T02:15:18-04:00,383.8,---,24.94,116.55,---,0.1,0.1,0.1,98767.8,64.5
2023-03-30T02:23:27-04:00,---,---,25.2,120.82,---,0.8,0,0.4,---,63.7
2023-03-30T02:30:35-04:00,379.9,---,---,---,---,---,---,---,---,---
2023-03-30T02:39:47-04:00,---,---,24.44,---,---,---,---,---,---,64.8
2023-03-30T02:44:57-04:00,---,---,---,---,---,---,---,---,98772.5,---
2023-03-30T02:51:58-04:00,---,---,---,---,---,---,---,---,98788.1,---
2023-03-30T03:00:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T03:05:04-04:00,380.9,---,24.57,164.43,---,0.3,0,0.2,98805.1,63.6
2023-03-30T03:10:18-04:00,---,---,---,---,---,0,0,0,---,---
2023-03-30T03:15:34-04:00,379.9,---,24.01,167.59,---,0,0,0,98813.7,64.6
2023-03-30T03:22:07-04:00,382.3,---,---,178.32,---,0.4,0,0,98823.4,---
2023-03-30T03:29:49-04:00,---,---,---,---,---,---,---,---,98831.8,---
2023-03-30T03:35:56-04:00,381.3,---,---,187.13,---,---,---,---,98835.4,---
2023-03-30T03:43:07-04:00,---,---,---,---,---,---,---,---,98834.1,---
2023-03-30T03:48:13-04:00,380.8,---,---,---,---,---,---,---,---,---
2023-03-30T03:54:18-04:00,382.6,---,23.91,196.15,---,0.2,0,0.1,98851.3,64.2
2023-03-30T04:04:22-04:00,379.9,---,24.35,206.53,---,0.4,0,0.4,98864.3,63.4
2023-03-30T04:10:27-04:00,379.8,---,24.27,211.72,---,0.4,0.2,0.2,---,63.2
2023-03-30T04:15:43-04:00,381,---,---,203.94,---,0.3,0,0.3,98874.3,---
2023-03-30T04:22:58-04:00,383.3,---,---,---,---,---,---,---,98878.1,---
2023-03-30T04:30:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T04:36:59-04:00,---,---,---,---,---,---,---,---,98892.8,---
2023-03-30T04:42:57-04:00,382,---,24.35,225.04,---,0.1,0,0,98893,63.1
2023-03-30T04:52:07-04:00,381.1,---,23.94,221.33,---,0.3,0,0.2,98892.9,63.9
2023-03-30T05:00:22-04:00,---,---,---,---,---,---,---,---,98896.1,---
2023-03-30T05:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T05:16:34-04:00,---,---,24.35,---,---,---,---,---,---,63.1
2023-03-30T05:23:41-04:00,382.1,---,24.05,221.88,---,0.2,0,0.2,98917.1,63.5
2023-03-30T05:35:34-04:00,383,---,23.88,241.02,---,0.5,0,0.5,98925.3,64.5
2023-03-30T05:43:37-04:00,380.9,---,24.09,229.37,---,0.3,0,0.2,98934.4,63.7
2023-03-30T05:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T05:54:51-04:00,382.2,---,---,---,---,---,---,---,98931.4,---
2023-03-30T06:05:14-04:00,383.5,---,23.58,229.29,---,0.3,0,0.2,98949.6,64.6
2023-03-30T06:13:23-04:00,382.3,---,23.68,229.01,---,0.2,0.1,0.2,98958.8,64.3
2023-03-30T06:22:32-04:00,382,---,24.08,225.42,---,0.6,0.2,0.5,---,63.3
2023-03-30T06:30:34-04:00,382,---,23.79,221.92,---,0.5,0,0.5,98976.4,63.9
2023-03-30T06:37:43-04:00,---,---,---,---,---,---,---,---,98965,---
2023-03-30T06:46:44-04:00,381.8,---,23.68,231.3,---,0.2,0,0.2,---,64.3
2023-03-30T06:53:56-04:00,---,---,---,---,---,---,---,---,98989.2,---
2023-03-30T07:02:00-04:00,---,---,---,---,---,---,---,---,---,66.1
2023-03-30T07:08:07-04:00,---,---,22.93,---,---,0.1,0,0.1,---,66.9
2023-03-30T07:16:11-04:00,384,---,22.47,232.87,---,0.2,0,0.2,99009.4,68
2023-03-30T07:24:32-04:00,---,---,---,---,---,---,---,---,99015.2,---
2023-03-30T07:31:23-04:00,---,---,---,---,---,---,---,---,---,69
2023-03-30T07:38:24-04:00,406,---,22.21,253.6,---,0,0,0,99045.6,69.3
2023-03-30T07:46:55-04:00,538,---,23.26,272.75,---,0.5,0,0.5,99067.4,69.9
2023-03-30T07:53:56-04:00,586.6,---,23.41,264.11,---,0.1,0,0.1,99067.6,70.4
2023-03-30T08:00:04-04:00,---,---,---,---,---,---,---,---,99071.5,---
2023-03-30T08:06:21-04:00,---,---,---,---,---,---,---,---,99067,---
2023-03-30T08:11:21-04:00,649.8,---,---,264.41,---,---,---,---,---,---
2023-03-30T08:21:07-04:00,686,---,23.42,265.32,---,0.5,0,0.5,99073.1,71.7
2023-03-30T08:29:13-04:00,707.8,---,23.75,268.24,---,0.3,0.2,0.2,99087.5,71.2
2023-03-30T08:35:27-04:00,721.1,---,---,---,---,---,---,---,99097.3,---
2023-03-30T08:42:29-04:00,---,---,---,---,---,---,---,---,---,71.3
2023-03-30T08:49:33-04:00,---,---,23.86,255.93,---,0.1,0,0.1,---,71.7
2023-03-30T08:56:41-04:00,741.5,---,23.94,256.97,---,0.5,0,0.2,---,71.7
2023-03-30T09:03:12-04:00,752.6,---,24.2,256.12,---,0.3,0,0,---,71.4
2023-03-30T09:09:32-04:00,---,---,---,254.45,---,---,---,---,---,---
2023-03-30T09:14:33-04:00,---,---,---,248.43,---,0.2,0,0.1,---,---
2023-03-30T09:21:31-04:00,---,---,24.05,250.07,---,0.4,0,0,---,71.8
2023-03-30T09:26:35-04:00,715.6,---,23.9,247.89,---,0.5,0,0.2,99124.2,72
2023-03-30T09:32:47-04:00,---,---,---,---,---,---,---,---,99133.9,---
2023-03-30T09:39:05-04:00,---,---,---,---,---,---,---,---,99139.6,---
2023-03-30T09:45:54-04:00,718.8,---,24.38,243.45,---,0.4,0,0.4,---,71.2
2023-03-30T09:54:11-04:00,708.8,---,24.21,246.16,---,0,0,0,99149.4,71.8
2023-03-30T09:59:58-04:00,---,---,---,---,---,---,---,---,99153.1,---
2023-03-30T10:08:07-04:00,---,---,---,---,---,---,---,---,99159.5,---
2023-03-30T10:14:13-04:00,720.9,---,---,236.01,---,0.2,0,0,99154.5,---
2023-03-30T10:22:38-04:00,---,---,23.96,238.62,---,0.3,0.2,0.3,---,72
2023-03-30T10:31:19-04:00,641.5,---,23.02,240.56,---,0.5,0,0.3,99149.6,71.9
2023-03-30T10:38:27-04:00,---,---,22.73,244.85,---,0.6,0,0,---,71.3
2023-03-30T10:46:43-04:00,---,---,22.34,---,---,---,---,---,---,---
2023-03-30T10:51:41-04:00,---,---,22.12,239.21,---,0.5,0,0.3,---,71.8
2023-03-30T10:59:38-04:00,489.7,---,---,---,---,---,---,---,99161.5,---
2023-03-30T11:08:49-04:00,466.6,---,21.9,256.73,---,0,0,0,99167.2,71.4
2023-03-30T11:14:52-04:00,---,---,21.83,---,---,0,0,0,---,---
2023-03-30T11:21:57-04:00,---,---,21.66,263.69,---,0.6,0.1,0.2,---,72
2023-03-30T11:31:09-04:00,---,---,---,---,---,---,---,---,---,71.9
2023-03-30T11:38:18-04:00,---,---,21.81,270.48,---,0.4,0,0.4,---,---
2023-03-30T11:45:23-04:00,452,---,22.09,271.46,---,0.4,0,0.3,99172.3,71.3
2023-03-30T11:54:02-04:00,527.9,---,22.67,264.86,---,0.4,0.2,0.4,99165.9,71.9
2023-03-30T11:59:18-04:00,---,---,---,---,---,---,---,---,99170.1,---
2023-03-30T12:04:44-04:00,642,---,---,271.05,---,---,---,---,---,---
2023-03-30T12:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T12:15:53-04:00,---,---,---,---,---,---,---,---,99171.4,---
2023-03-30T12:21:57-04:00,885.7,---,28.13,256.24,---,63.3,34.1,50.8,99169.4,71.4
2023-03-30T12:28:02-04:00,851.2,---,27.43,259.16,---,55.2,30.3,45.4,99179.1,71.8
2023-03-30T12:36:12-04:00,865,---,27.56,247.83,---,54,30.7,44.9,---,72
2023-03-30T12:46:22-04:00,---,---,---,---,---,---,---,---,---,71.9
2023-03-30T12:52:27-04:00,---,---,26.95,---,---,11.8,7.3,10.3,---,70.9
2023-03-30T13:00:39-04:00,832.2,---,---,215.85,---,---,---,---,99166.6,---
2023-03-30T13:08:48-04:00,---,---,27.12,214.4,---,4.3,2.4,3.7,---,68.9
2023-03-30T13:14:53-04:00,---,---,---,---,---,---,---,---,---,68.5
2023-03-30T13:23:17-04:00,---,---,---,202.09,---,---,---,---,---,---
2023-03-30T13:28:51-04:00,---,---,---,186.43,---,---,---,---,---,---
2023-03-30T13:38:17-04:00,---,---,---,---,---,---,---,---,---,70
2023-03-30T13:49:09-04:00,773,---,25.89,164.92,---,55,32.5,46,99132.2,71.2
2023-03-30T13:55:09-04:00,741.3,---,25.73,179.52,---,21.4,14.7,20.4,99134.2,71.3
2023-03-30T14:04:16-04:00,---,---,---,---,---,---,---,---,99122.5,---
2023-03-30T14:11:23-04:00,711.3,---,---,182.02,---,---,---,---,99116.2,---
2023-03-30T14:19:03-04:00,731,---,---,---,---,---,---,---,---,---
2023-03-30T14:27:12-04:00,680.9,---,24.53,194.01,---,1.3,0.7,1.3,99113.3,71.9
2023-03-30T14:34:17-04:00,617.3,---,---,205.74,---,---,---,---,---,---
2023-03-30T14:41:18-04:00,570.8,---,23.38,211.2,---,0.8,0.2,0.5,---,72.5
2023-03-30T14:49:31-04:00,---,---,---,---,---,---,---,---,99088.8,---
2023-03-30T14:56:07-04:00,508.5,---,22.31,216.08,---,0.2,0,0.2,99084.1,73.7
2023-03-30T15:01:16-04:00,---,---,22.21,---,---,0.8,0,0.5,---,---
2023-03-30T15:08:19-04:00,482.1,---,21.73,240.58,---,0.5,0.1,0.5,99077.1,74.8
2023-03-30T15:16:26-04:00,470.3,---,21.36,261.31,---,0.7,0.1,0.5,---,75.5
2023-03-30T15:22:34-04:00,459,---,---,265.4,---,---,---,---,99056.1,---
2023-03-30T15:31:41-04:00,448.3,---,21.36,299.94,---,0.5,0,0.5,99042.8,76.3
2023-03-30T15:37:47-04:00,442.8,---,---,---,---,---,---,---,99038.9,---
2023-03-30T15:45:53-04:00,439,---,22.29,313.48,---,0.8,0.3,0.6,99035.4,76.8
2023-03-30T15:53:01-04:00,---,---,22.11,322.38,---,0.6,0.4,0.6,---,76.3
2023-03-30T16:00:07-04:00,---,---,23.23,---,---,---,---,---,---,75.6
2023-03-30T16:09:19-04:00,430.1,---,22.76,309.43,---,0.8,0,0.7,99024.3,75
2023-03-30T16:18:03-04:00,428.3,---,23.43,300.69,---,0.7,0,0.7,99024.6,74.5
2023-03-30T16:24:12-04:00,---,---,---,---,---,---,---,---,---,74.2
2023-03-30T16:29:21-04:00,---,---,25.03,---,---,---,---,---,---,74
2023-03-30T16:34:18-04:00,---,---,24.15,267.7,---,0.9,0.1,0.9,---,74
2023-03-30T16:38:27-04:00,---,---,---,---,---,---,---,---,99002.1,---
2023-03-30T16:46:04-04:00,426.6,---,24.74,256.85,---,1,0.1,0.8,98995.8,73.7
2023-03-30T16:53:48-04:00,---,---,24.64,233.95,---,1.1,0.4,0.9,---,---
2023-03-30T17:01:19-04:00,418.1,---,24.92,218.67,---,1.4,0.3,1,99007,73.4
2023-03-30T17:07:26-04:00,417.6,---,25.6,212.58,---,1.7,0.7,1.5,99003.7,---
2023-03-30T17:16:33-04:00,419,---,25.86,204.79,---,1.1,0.5,1.1,99003.9,73.1
2023-03-30T17:24:42-04:00,417.2,---,25.66,189.62,---,1.8,0.8,1.7,98999,72.9
2023-03-30T17:30:49-04:00,---,---,---,---,---,---,---,---,98985.1,---
2023-03-30T17:37:53-04:00,411.8,---,26.05,184.22,---,1.3,0.5,1.3,98987.4,72.8
2023-03-30T17:46:00-04:00,412.7,---,27.2,169.63,---,1.3,0.5,1,98976.9,72.6
2023-03-30T17:51:15-04:00,---,---,---,---,---,---,---,---,98973.6,---
2023-03-30T17:58:49-04:00,412.3,---,27.38,160.31,---,2,1,1.7,98969.7,72.3
2023-03-30T18:02:17-04:00,412.3,---,---,---,---,---,---,---,---,---
2023-03-30T18:09:59-04:00,412.1,---,29.43,148.59,---,1.5,0.8,1.5,98968.7,72.2
2023-03-30T18:18:58-04:00,412.8,---,---,---,---,---,---,---,98957.7,---
2023-03-30T18:28:36-04:00,412.3,---,29.23,109.65,---,1.1,0.3,1,98948.6,72.1
2023-03-30T18:37:52-04:00,411,---,---,---,---,---,---,---,98949.8,---
2023-03-30T18:43:50-04:00,410.9,---,---,---,---,---,---,---,---,---
2023-03-30T18:50:05-04:00,---,---,---,---,---,---,---,---,98946.9,---
2023-03-30T18:57:05-04:00,410.9,---,28.84,69.51,---,1.3,0.3,1.1,98951.6,71.5
2023-03-30T19:03:11-04:00,---,---,28.46,58.42,---,1.1,0.4,1.1,---,71.3
2023-03-30T19:10:49-04:00,412.3,---,---,---,---,---,---,---,98952.3,---
2023-03-30T19:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T19:29:49-04:00,414.2,---,30.9,38.81,---,1.1,0.3,1.1,98963.7,69.8
2023-03-30T19:34:13-04:00,---,---,---,24.69,---,---,---,---,---,---
2023-03-30T19:43:05-04:00,---,---,31.49,17.76,---,1.1,0.4,1.1,---,68.3
2023-03-30T19:49:08-04:00,414.8,---,31.77,22.52,---,0.9,0.5,0.7,98965.4,67.8
2023-03-30T19:59:21-04:00,---,---,32.59,---,---,1.8,0.5,1.2,---,66.8
2023-03-30T20:03:37-04:00,---,---,---,---,---,---,---,---,98959.9,---
2023-03-30T20:11:34-04:00,424,---,33.71,-19.53,---,2.6,0.7,1.7,98969.9,65.8
2023-03-30T20:19:07-04:00,422.3,---,---,-23.67,---,---,---,---,98973.1,---
2023-03-30T20:27:15-04:00,---,---,---,---,---,1.8,0.4,0.9,---,---
2023-03-30T20:34:19-04:00,---,---,---,---,---,---,---,---,---,64.4
2023-03-30T20:45:37-04:00,421.5,---,---,-68.32,---,12.7,10.9,12.3,98998.2,---
2023-03-30T20:51:40-04:00,---,---,35.34,---,---,1.8,0.6,1,---,63.6
2023-03-30T20:57:52-04:00,---,---,---,---,---,---,---,---,99029.5,---
2023-03-30T21:05:08-04:00,419,---,---,-74.97,---,---,---,---,---,---
2023-03-30T21:11:57-04:00,---,---,35.61,-76.54,---,2.5,1.1,1.9,---,62.9
2023-03-30T21:15:13-04:00,---,---,---,---,---,2.1,0.8,1.8,---,---
2023-03-30T21:22:10-04:00,---,---,---,---,---,---,---,---,99061.8,---
2023-03-30T21:27:11-04:00,417,---,---,---,---,---,---,---,99058.8,---
2023-03-30T21:36:02-04:00,416.5,---,35.72,-68.28,---,1.8,0.5,1.4,99052.5,62.6
2023-03-30T21:45:09-04:00,414.9,---,35.83,-64.84,---,2.3,0.8,1.9,99043.6,62.4
2023-03-30T21:53:18-04:00,415.3,---,35.98,-52.65,---,2.3,1,1.7,99035.5,62.3
2023-03-30T22:00:24-04:00,414.6,---,35.86,-44.63,---,1.8,0.8,1.5,99040,62.1
2023-03-30T22:09:26-04:00,---,---,35.39,---,---,2.3,0.9,1.7,---,---
2023-03-30T22:13:47-04:00,415.8,---,---,---,---,---,---,---,---,---
2023-03-30T22:22:31-04:00,413.8,---,35.77,-4.23,---,2,1,1.6,99026.2,62
2023-03-30T22:29:21-04:00,411.1,---,35.8,6.81,---,2.3,0.9,1.7,99026.7,61.8
2023-03-30T22:36:29-04:00,410.2,---,35.91,18.51,---,1.7,0.4,1.4,---,61.5
2023-03-30T22:42:38-04:00,---,---,36.01,30.95,---,2,0.5,1.2,---,61.4
2023-03-30T22:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-30T22:57:58-04:00,---,---,36.06,---,---,---,---,---,---,61.2
2023-03-30T23:06:07-04:00,409.1,---,35.97,57.8,---,2.4,1.2,2.2,98995.6,61.2
2023-03-30T23:12:19-04:00,407.5,---,---,---,---,---,---,---,98992,---
2023-03-30T23:20:27-04:00,406.7,---,35.7,80.01,---,2,1.2,1.9,98985.1,61.2
2023-03-30T23:25:38-04:00,---,---,---,---,---,---,---,---,98973.4,---
2023-03-30T23:31:42-04:00,407.3,---,---,---,---,---,---,---,98979.1,---
2023-03-30T23:37:50-04:00,407,---,---,---,---,---,---,---,---,---
2023-03-30T23:43:47-04:00,---,---,35.61,90.52,---,1.5,0.1,0.8,---,61
2023-03-30T23:50:53-04:00,---,---,---,---,---,---,---,---,---,61
2023-03-30T23:59:24-04:00,404.3,---,35.48,104.41,---,1.7,0.7,1.6,98975.8,60.9
2023-03-31T00:03:09-04:00,403.9,---,35.51,97.12,---,2.3,1.3,2.2,98972.9,60.7
2023-03-31T00:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T00:16:36-04:00,---,---,---,---,---,---,---,---,98956.2,---
2023-03-31T00:21:43-04:00,---,---,35.22,---,---,---,---,---,---,---
2023-03-31T00:26:43-04:00,---,---,---,101.67,---,---,---,---,---,---
2023-03-31T00:33:35-04:00,---,---,35.19,---,---,---,---,---,---,60.4
2023-03-31T00:39:48-04:00,---,---,---,102.18,---,---,---,---,---,---
2023-03-31T00:44:56-04:00,400.8,---,---,95.38,---,2.3,1,2.2,98940.8,---
2023-03-31T00:51:58-04:00,---,---,---,---,---,3,0.8,1.8,---,---
2023-03-31T00:57:07-04:00,---,---,---,---,---,---,---,---,98933.5,---
2023-03-31T01:03:12-04:00,---,---,35.37,---,---,1.1,0.6,1.1,---,---
2023-03-31T01:08:07-04:00,398.5,---,35.25,98.12,---,1.6,0.7,1.5,98922.1,60
2023-03-31T01:14:15-04:00,400.6,---,35.29,94.75,---,1.8,0.8,1.3,98919.2,60
2023-03-31T01:20:20-04:00,---,---,---,---,---,---,---,---,---,59.9
2023-03-31T01:28:28-04:00,---,---,---,---,---,---,---,---,---,60.1
2023-03-31T01:33:33-04:00,397.8,---,33.58,89.67,---,2,1,1.7,98901.4,60.3
2023-03-31T01:42:44-04:00,397,---,---,---,---,---,---,---,98883.2,---
2023-03-31T01:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T02:00:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T02:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T02:13:18-04:00,396.8,---,---,78.56,---,---,---,---,98851.3,---
2023-03-31T02:20:33-04:00,398,---,30.87,78.08,---,1,0.5,0.5,98848.4,60.4
2023-03-31T02:28:36-04:00,394.5,---,30.71,77.25,---,0.9,0.5,0.8,---,60.2
2023-03-31T02:37:44-04:00,394.3,---,30.14,72.67,---,0.8,0.1,0.8,98842.3,60.7
2023-03-31T02:44:52-04:00,395,---,29.85,76.53,---,0.5,0.2,0.5,98832,61.2
2023-03-31T02:52:01-04:00,396,---,---,76.44,---,0.8,0.3,0.5,98829.7,---
2023-03-31T03:00:08-04:00,394.8,---,29.87,70.7,---,0.7,0.2,0.7,98816.5,60.9
2023-03-31T03:08:17-04:00,395.1,---,29.87,70.21,---,0.5,0.1,0.4,98818.2,60.7
2023-03-31T03:14:23-04:00,395.5,---,29.87,66.86,---,1,0.3,0.8,98828,60.6
2023-03-31T03:22:33-04:00,394.3,---,29.51,63.03,---,0.9,0.2,0.5,98828.5,60.4
2023-03-31T03:31:50-04:00,---,---,---,---,---,---,---,---,98836.6,---
2023-03-31T03:40:57-04:00,394.1,---,28.72,64.32,---,0.5,0.1,0.3,98801.1,61.2
2023-03-31T03:47:17-04:00,394.7,---,---,---,---,---,---,---,---,---
2023-03-31T03:52:07-04:00,---,---,28.68,60.73,---,0.8,0,0.5,---,61.4
2023-03-31T03:59:14-04:00,394.7,---,28.78,64.73,---,0.8,0.2,0.6,98780.3,61.2
2023-03-31T04:08:18-04:00,395,---,28.81,45.97,---,1,0,0.5,98787.4,60.8
2023-03-31T04:19:44-04:00,394.1,---,28.42,62.04,---,0.9,0.2,0.5,98788.2,60.8
2023-03-31T04:29:00-04:00,---,---,---,---,---,---,---,---,---,61
2023-03-31T04:35:07-04:00,392.7,---,28.21,54.44,---,0.6,0.3,0.6,98768.9,61.3
2023-03-31T04:42:18-04:00,---,---,---,---,---,---,---,---,98769.5,---
2023-03-31T04:46:57-04:00,394.8,---,---,---,---,---,---,---,98758.3,---
2023-03-31T04:55:56-04:00,---,---,28.18,---,---,---,---,---,---,61.7
2023-03-31T05:03:42-04:00,395.3,---,28.15,59.82,---,0.7,0.1,0.3,---,61.9
2023-03-31T05:10:48-04:00,---,---,---,---,---,---,---,---,---,61.7
2023-03-31T05:18:02-04:00,393.7,---,28.42,53,---,0.3,0,0.3,98784.7,61.6
2023-03-31T05:26:47-04:00,394.9,---,28.46,63.88,---,0.3,0.1,0.3,98784.7,61.7
2023-03-31T05:33:51-04:00,396.4,---,28.5,66.54,---,0.8,0.1,0.5,---,61.8
2023-03-31T05:42:20-04:00,394.3,---,28.53,52.97,---,0.6,0.3,0.6,98789.9,61.6
2023-03-31T05:48:28-04:00,396,---,---,---,---,---,---,---,98789.4,---
2023-03-31T05:57:37-04:00,395,---,---,70.51,---,---,---,---,---,---
2023-03-31T06:04:43-04:00,---,---,---,---,---,---,---,---,98771.8,---
2023-03-31T06:11:46-04:00,395.6,---,29.03,71.13,---,0.8,0.3,0.6,98770,61.4
2023-03-31T06:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T06:29:46-04:00,---,---,---,---,---,---,---,---,98746.8,---
2023-03-31T06:34:46-04:00,395.5,---,28.82,63.2,---,0.5,0.3,0.5,---,61.9
2023-03-31T06:40:52-04:00,395.5,---,28.9,63.04,---,1.3,0.3,0.8,---,61.9
2023-03-31T06:48:59-04:00,---,---,---,---,---,---,---,---,---,62.4
2023-03-31T06:53:13-04:00,393.3,---,---,---,---,---,---,---,98744,---
2023-03-31T07:00:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T07:07:17-04:00,396,---,---,---,---,---,---,---,98735.7,---
2023-03-31T07:15:22-04:00,397.9,---,26.99,52.32,---,0.5,0,0.5,98718.3,65.5
2023-03-31T07:21:28-04:00,---,---,---,---,---,---,---,---,---,66
2023-03-31T07:26:36-04:00,397.8,---,---,56.43,---,0.3,0,0.3,98708.3,---
2023-03-31T07:32:48-04:00,---,---,---,---,---,---,---,---,98717,---
2023-03-31T07:40:58-04:00,416,---,---,---,---,---,---,---,---,---
2023-03-31T07:47:02-04:00,583.2,---,---,---,---,---,---,---,98706.6,---
2023-03-31T07:56:13-04:00,755.8,---,---,---,---,---,---,---,98696.2,---
2023-03-31T08:03:18-04:00,---,---,---,---,---,---,---,---,98679.4,---
2023-03-31T08:10:39-04:00,881.6,---,31.07,87.47,---,48.9,26.4,40.3,---,69.4
2023-03-31T08:19:29-04:00,971.6,---,---,---,---,---,---,---,---,---
2023-03-31T08:24:47-04:00,967.1,---,---,---,---,---,---,---,98644.7,---
2023-03-31T08:32:25-04:00,---,---,---,---,---,---,---,---,---,70.5
2023-03-31T08:39:54-04:00,---,---,---,---,---,---,---,---,---,70.3
2023-03-31T08:47:01-04:00,---,---,---,---,---,---,---,---,98585.2,---
2023-03-31T08:57:05-04:00,854.8,---,28.76,72.64,---,2.3,1,1.8,---,70
2023-03-31T09:03:21-04:00,---,---,---,---,---,---,---,---,98556,---
2023-03-31T09:13:20-04:00,868,---,29,84.62,---,1,0,1,98558.9,70
2023-03-31T09:19:26-04:00,828.6,---,---,---,---,---,---,---,98551.6,---
2023-03-31T09:26:27-04:00,790.8,---,28.43,67.11,---,0.8,0,0.7,---,69.6
2023-03-31T09:30:42-04:00,---,---,---,---,---,1,0.5,0.8,---,---
2023-03-31T09:34:43-04:00,---,---,---,---,---,---,---,---,98596.4,---
2023-03-31T09:40:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T09:43:39-04:00,699.3,---,28.19,70.44,---,2,0.9,1.4,98585.6,69.6
2023-03-31T09:52:48-04:00,704.8,---,27.99,62.41,---,2.5,1,1.7,98518,69.7
2023-03-31T10:01:08-04:00,726,---,---,---,---,---,---,---,98498.2,---
2023-03-31T10:09:27-04:00,752.6,---,---,77.8,---,---,---,---,---,---
2023-03-31T10:14:21-04:00,719.8,---,27.94,74.08,---,10.5,5.3,9.5,98498.9,---
2023-03-31T10:21:39-04:00,669.7,---,---,---,---,---,---,---,---,---
2023-03-31T10:29:47-04:00,735.7,---,---,---,---,---,---,---,98451.3,---
2023-03-31T10:38:44-04:00,---,---,27.78,80.94,---,5.7,2.7,4.4,---,70.2
2023-03-31T10:44:03-04:00,---,---,27.77,---,---,4.1,2.4,3.9,---,69.9
2023-03-31T10:48:54-04:00,620,---,27.85,74.76,---,3.4,2,3.1,98394.7,---
2023-03-31T10:58:03-04:00,---,---,---,---,---,---,---,---,---,70.3
2023-03-31T11:06:11-04:00,---,---,---,---,---,---,---,---,---,70.5
2023-03-31T11:11:26-04:00,561.8,---,---,---,---,---,---,---,98372.1,---
2023-03-31T11:18:21-04:00,547.3,---,27.22,87.33,---,2.2,1,2,---,70
2023-03-31T11:23:26-04:00,---,---,27.15,84.57,---,2.4,1,2,---,70.3
2023-03-31T11:30:34-04:00,536.6,---,27.09,95.21,---,1.9,1,1.9,98270.1,70.5
2023-03-31T11:40:00-04:00,---,---,---,---,---,---,---,---,---,---
